,text,mood,selected_text,sentiment
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,get giddy feeling elegant perfectly fitted pencil skirt,0
31,i remember feeling acutely distressed for a few days,fear,remember feeling acutely distressed day,1
32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,seen heard read past couple day left feeling impressed company,0
33,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,1
34,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,0
35,i am not sure what would make me feel content if anything,joy,sure would make feel content anything,0
36,i have been feeling the need to be creative,joy,feeling need creative,0
37,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,however want know something someone causing feel le splendid self step away,0
38,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,1
39,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,need need someone need protected feel safe small find season word,0
40,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,0
41,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,already christmas tree got two feeling festive sure spurring get started book,0
42,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,ive worn little concealer day im feeling brave dont want pale perfect,0
43,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,feel strongly passionate jerk decides poke make fun u,0
44,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,1
45,i was feeling listless from the need of new things something different,sadness,feeling listless need new thing something different,1
46,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,0
47,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,let go sad feeling want accepted first home mine,0
48,on a boat trip to denmark,joy,boat trip denmark,0
49,i stopped feeling cold and began feeling hot,anger,stopped feeling cold began feeling hot,1
50,i need to feel the dough to make sure its just perfect,joy,need feel dough make sure perfect,0
51,i found myself feeling a little discouraged that morning,sadness,found feeling little discouraged morning,1
52,i feel selfish and spoiled,anger,feel selfish spoiled,1
53,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,stymied little bit wrote feeling unsure might go somewhere story unintended,1
54,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,0
55,i feel you know basically like a fake in the realm of science fiction,sadness,feel know basically like fake realm science fiction,1
56,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,hate living dad roof give excuse asshole providing live think feel need make feel unwelcome possible ill leave,1
57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,keep feeling pleasantly surprised supportiveness also ease new situation,0
58,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,0
59,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,feel mom graceful warm loving smile rob time nurture heal,0
60,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,feel talk brother law extremely popular one think stiff,0
61,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,0
62,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,1
63,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,began several time week feeling tortured hallucination moving people figure sound vibration,1
64,i am now nearly finished the week detox and i feel amazing,surprise,nearly finished week detox feel amazing,0
65,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,1
66,i know the pain parents feel when an enraged child becomes violent,anger,know pain parent feel enraged child becomes violent,1
67,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,roller coaster emotion supposed feeling something unpleasant coming,1
68,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,0
69,i was feeling brave when i bought it and clearly when i was doing my makeup,joy,feeling brave bought clearly makeup,0
70,i am feeling miserable but c i am also the proudest mum on earth,sadness,feeling miserable c also proudest mum earth,1
71,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,figure family love u matter around anyone else feel embarrassed michelle go ballistic,1
72,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,necessarily think f bomb sex necessary story feel reassured see print journal,0
73,i can feel my ovaries aching talking to me as i like to put it,sadness,feel ovary aching talking like put,1
74,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,feel like much chris mostly took many picture unimportant stuff,1
75,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,im tired book ready finding given unsuitable image feeling blamed result sit well,1
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,joy,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,0
77,i think feelings are one of nay the most important things we have,joy,think feeling one nay important thing,0
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,joy,feel completely honored influence young talented fully alive beautiful girl woman,0
79,i feel angered and firey,anger,feel angered firey,1
80,i feel like a miserable piece of garbage,sadness,feel like miserable piece garbage,1
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger,feel like need make list leanne would appalled thought dont miss anything,1
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger,drove dannika school feeling little bit rushed greeted turned corner,1
83,i remember feeling so hellip furious with the shooter,anger,remember feeling hellip furious shooter,1
84,i feel very happy and excited since i learned so many things,joy,feel happy excited since learned many thing,0
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,feel show around show horse people trusting relaxed show horse safe quiet handled frequently,0
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,couple thing left make start december done feeling smug,0
87,i think about how u could make me feel and realize that everything will be ok,joy,think u could make feel realize everything ok,0
88,i feel so worthless during those times i was struggling finding work,sadness,feel worthless time struggling finding work,1
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear,able lay bed dark feel terrified least,1
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,love,ready meet mom airport feel ever supportive arm around,0
91,im feeling bitter today my mood has been strange the entire day so i guess its that,anger,im feeling bitter today mood strange entire day guess,1
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,mum brother passed away involved car accident bringing present passed form five exam flying colour,1
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,letting go animosity towards anyone feel wronged,1
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,talk dog feel cannot understand word read emotion know supportive decided go home,0
95,i feel like throwing away the shitty piece of shit paper,sadness,feel like throwing away shitty piece shit paper,1
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,im starting feel wryly amused banal comedy error life turning,0
97,i find every body beautiful and only want people to feel vital in their bodies,joy,find every body beautiful want people feel vital body,0
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,hear owner feel victimized association association attorney property manager,1
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,1
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,wont let child cry feel loving lily little going opportunity lasted short month,0
101,i alba i feel good and im fitting in,joy,alba feel good im fitting,0
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,feel excited im feel like ton catching,0
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,also know good feel look back see honored word help start,0
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,1
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,feel like thing getting little overwhelming spritz toner really help calm soothe,0
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,0
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,feeling festive today even going put tree soon finished catching week going ons coronation street,0
108,finding out that i am not ill not seriously,joy,finding ill seriously,0
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,1
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,0
111,i am feeling all useful,joy,feeling useful,0
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,feel like pain cannot imagine becoming passionate group idea causing pain,0
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,1
114,im not feeling homesick yet so im feeling alright about this,sadness,im feeling homesick yet im feeling alright,1
115,i dance i should feel pretty,joy,dance feel pretty,0
116,i workout every morning before and feel fabulous for it,joy,workout every morning feel fabulous,0
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,feel eye touch word eye know assuredly return love know shall vain,1
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,feeling fabulous friday morning started get awful cramp work,0
119,i feel honoured to have been able to call them friends to share their brotherhood,joy,feel honoured able call friend share brotherhood,0
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,begun feel apprehensive thick black rain cloud stormed sky town,1
121,i had stated to her the reason i feel so fearful is because i feel unsafe,fear,stated reason feel fearful feel unsafe,1
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,feel like getting shaken tsa quite yet pulled side creative croissant lunch,1
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,get group feel really awkward overcompensate talkative getting really quiet,1
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,0
125,i feel they are pretty safe on my blog img src http s,joy,feel pretty safe blog img src http,0
126,i feel pretty eager to get it done as i have a fun plan for quilting it,joy,feel pretty eager get done fun plan quilting,0
127,i am feeling horny so i ask her that lets go home,love,feeling horny ask let go home,0
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,1
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,feel stranger strange land raising son place father ancestral home,0
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,0
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,0
132,i was still feeling strong,joy,still feeling strong,0
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,burst tear devastating release feeling thought seemed know rich also go space without dumping,0
134,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,1
135,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,1
136,i clench to the corners of the bed to feel assured,joy,clench corner bed feel assured,0
137,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,also feel like selfish grateful life amazing thing,1
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,called god seen god book figured god right name feeling utterly affirmed accepted without question,0
139,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,know perhaps girl office nice short hair perhaps feeling rebellious,1
140,i do not feel miserable at all because my family is not the type that celebrates eid,sadness,feel miserable family type celebrates eid,1
141,i might go get a car wash if i am feeling really generous my car needs it,joy,might go get car wash feeling really generous car need,0
142,i still feel sleep deprived she is almost sleeping through the night giving us,sadness,still feel sleep deprived almost sleeping night giving u,1
143,i just feel really violent right now,anger,feel really violent right,1
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,bloging sitting feeling content dog amp cat etc know lucky truth,0
145,i started feeling funny and then friday i woke up sick as a dog,surprise,started feeling funny friday woke sick dog,0
146,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,feel need protect parent witch hunt repressed memory therapy,1
147,i feel disgusted to even be associated with this woman by my race and nationality,anger,feel disgusted even associated woman race nationality,1
148,i laughed then bitterly again but i wasnt feeling bitter,anger,laughed bitterly wasnt feeling bitter,1
149,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,know feeling thought wished could u u knew however much hated first experience would remember forever,1
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,feeling quite mellow wanted soft easy look wear beginning cold,0
151,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,told maybe need time think ive feeling indecisive thing lately,1
152,i still feel it does the genre a disservice when stories are resolved artifically,joy,still feel genre disservice story resolved artifically,0
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,0
154,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,1
155,i could feel her whimper to the thought of being unloved and uncared for,sadness,could feel whimper thought unloved uncared,1
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,0
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,im sorry wasnt humor post im feeling funny,0
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,feel ive got foot door fantastic world walking running trail fell mountain,0
159,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,1
160,i feel strange coming back to work after my one day holiday,fear,feel strange coming back work one day holiday,1
161,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,im clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,1
162,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,1
163,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger,could claim redeem genre leave feeling entirely frustrated point beating head wall either,1
164,i feel so sad and hopeless,sadness,feel sad hopeless,1
165,im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,im getting feeling class little intimidated concept lit,1
166,i still feel groggy but i have to get up to do the routine for my son,sadness,still feel groggy get routine son,1
167,i have a feeling my view isnt going to be very popular and thats fine,joy,feeling view isnt going popular thats fine,0
168,i want to hold this feeling of shocked awe and wonder forever,surprise,want hold feeling shocked awe wonder forever,0
169,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear,heard rumour st year exam result fear might one failure,1
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,joy,want feel valued appreciated know people love arent going anywhere even nature relationship change,0
171,i know there are days in which you feel distracted,anger,know day feel distracted,1
172,i use it regularly with relaxing music and always feel invigorated afterward,joy,use regularly relaxing music always feel invigorated afterward,0
173,im feeling distracted i tend to practice with my eyes shut as much as possible,anger,im feeling distracted tend practice eye shut much possible,1
174,i feel like its perfect a w see youtube has its influences i even know trends,joy,feel like perfect w see youtube influence even know trend,0
175,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear,specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,1
176,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,also feel weird sleeping bed two slept,1
177,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness,wish okay thinking earlier today thing cooped amp restless made feel needy,1
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,joy,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,0
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,hope feel bit creative soon miss presence life blog,0
180,i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness,fan current president conservative made feel unwelcome,1
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,surprise,enclose verse could weigh much thinking feeling curious hear odd couple,0
182,i begin to feel complacent with my life here,joy,begin feel complacent life,0
183,i feel vulnerable and alone,fear,feel vulnerable alone,1
184,i remember feeling inspired and thinking that it was a fine example of parenting,joy,remember feeling inspired thinking fine example parenting,0
185,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness,feel like always one getting punished stupid thing feel like chastised behaving,1
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,joy,really feel life perfect right isnt much ask hope everything would stay,0
187,im there i simply feel contented,joy,im simply feel contented,0
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,joy,im saying cut everyone life feel important find comfort solitude meditation working project alone,0
189,i think im just being stupid feeling nervous,fear,think im stupid feeling nervous,1
190,i feel honored by it,joy,feel honored,0
191,i was feeling an act of god at work in my life and it was an amazing feeling,surprise,feeling act god work life amazing feeling,0
192,i feel im like a bird flying in the air in a very carefree manner,joy,feel im like bird flying air carefree manner,0
193,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger,revise reply mind make sure reply sound appropriate enough person receive reply feel offended,1
194,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness,felt sad friend mine died felt something irrevocably gone away,1
195,i died would alex and matt feel regretful for not coming to visit,sadness,died would alex matt feel regretful coming visit,1
196,i feel that educating families and supporting and educationg mamas and papas is key,joy,feel educating family supporting educationg mama papa key,0
197,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,im sure lost feel like everyone hostile toward hate feeling,1
198,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness,feel like boring sewing make since easy nothing else say fabric usage,1
199,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,0
200,i feel like i talented young man i don t feel talented then i don t to work with,joy,feel like talented young man feel talented work,0
201,i feel curious about all this things around,surprise,feel curious thing around,0
202,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy,feel reason apart others life im help become something push succeed successful happy,0
203,i feel now so uncomfortable with all of them i guess is me,fear,feel uncomfortable guess,1
204,i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,feel pretty mellow far whatever healing wounding process may getting underway,0
205,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,wonder sometimes whether added antagonism misunderstanding many people towards u feel reluctant wholeheartedly support traditional armistice day remembrance,1
206,i legs would feel shitty for a few miles but would come around like they always do,sadness,leg would feel shitty mile would come around like always,1
207,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear,know unfair reaction run way explain feel shaken best come right,1
208,i seriously feel so blessed for the support that i have at home it s amazing,love,seriously feel blessed support home amazing,0
209,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness,feel abused maligned mostly tired nervous feeling anticipating danger,1
210,i am feeling pretty restless right now while typing this,fear,feeling pretty restless right typing,1
211,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,love,know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lapping water wood piling relaxing breeze coming water,0
212,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,admit hilarious e card seriously exactly feel stressed feel moment could start hy,1
213,i wrote last year when i was feeling more dull and inarticulate than normal,sadness,wrote last year feeling dull inarticulate normal,1
214,id kick myself into gear but i just feel irritable with no motivation what so ever,anger,id kick gear feel irritable motivation ever,1
215,i feel as a child innocent feelings illustrating a,joy,feel child innocent feeling illustrating,0
216,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,love,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,0
217,i will start to feel resentful,anger,start feel resentful,1
218,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness,spend vacation obligation headache feeling like emotional blackmailed three place,1
219,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise,feel herpes coming would surprised point make checkup clinic wednesday,0
220,i feel so fucked like everyday of my life,anger,feel fucked like everyday life,1
221,ive worked really hard all year to try to make each child in the class feel like they are valued,joy,ive worked really hard year try make child class feel like valued,0
222,i am feeling disheartened with my words as of late,sadness,feeling disheartened word late,1
223,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,feel like bitchy time upon retrospect think trying shake,1
224,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,joy,still second guess still terrible time making definitive decision certain truth know feel assured truth,0
225,i don t feel like eggs benedict i ll have something equally delicious,joy,feel like egg benedict something equally delicious,0
226,im feeling my way through and trusting myself,joy,im feeling way trusting,0
227,im feeling inspired by all the summery elements of my favorite past time beach bummin,joy,im feeling inspired summery element favorite past time beach bummin,0
228,i can feel that she smiled i love you even more gorgeous,joy,feel smiled love even gorgeous,0
